Date,Consumption
2010-02-01,96607.04035
2010-02-02,96524.95556
2010-02-03,96512.24867
2010-02-04,96747.40547
2010-02-05,96626.35108
2010-02-06,96697.80825
2010-02-07,96691.20792
2010-02-08,96693.15929
2010-02-09,96724.24612
2010-02-10,96662.07245
2010-02-11,96604.17588
2010-02-12,96531.42951
2010-02-13,96516.91698
2010-02-14,96477.98429
2010-02-15,96476.88522
2010-02-16,96459.45865
2010-02-17,96464.56113
2010-02-18,96059.11408
2010-02-19,96102.03057
2010-02-20,96026.39514
2010-02-21,96017.42318
2010-02-22,96016.92071
2010-02-23,95891.83172
2010-02-24,95708.33652
2010-02-25,95562.55803
2010-02-26,95559.53683
2010-02-27,95500.11908
2010-02-28,95471.12548
2010-03-01,95463.9607
2010-03-02,95470.331
2010-03-03,95563.0903
2010-03-04,95458.10703
2010-03-05,95720.62944
2010-03-06,95758.61211
2010-03-07,95742.63162
2010-03-08,95743.0489
2010-03-09,95782.39853
2010-03-10,95787.0414
2010-03-11,95665.65475
2010-03-12,95655.43339
2010-03-13,95649.03495
2010-03-14,95651.96788
2010-03-15,95648.75405
2010-03-16,95950.00722
2010-03-17,96045.63114
2010-03-18,96062.3543
2010-03-19,96494.07136
2010-03-20,96590.12566
2010-03-21,96566.78028
2010-03-22,96564.64246
2010-03-23,96605.90811
2010-03-24,96579.36614
2010-03-25,96615.38846
2010-03-26,96728.10055
2010-03-27,96797.7836
2010-03-28,96806.24976
2010-03-29,96810.38492
2010-03-30,96846.77884
2010-03-31,97140.05201
2010-04-01,97291.0685
2010-04-02,97616.0373
2010-04-03,97620.01023
2010-04-04,97620.15062
2010-04-05,97624.42472
2010-04-06,97826.58186
2010-04-07,97127.29621
2010-04-08,97391.26557
2010-04-09,97500.21279
2010-04-10,97787.59283
2010-04-11,97791.19996
2010-04-12,97790.09304
2010-04-13,97917.9576
2010-04-14,97990.59788
2010-04-15,98172.68151
2010-04-16,98203.52411
2010-04-17,98464.29019
2010-04-18,98492.58143
2010-04-19,98497.78076
2010-04-20,98858.72675
2010-04-21,99088.16946
2010-04-22,99258.40065
2010-04-23,99286.38506
2010-04-24,99660.79883
2010-04-25,99564.5811
2010-04-26,99566.29829
